onset	duration	trial_type	correct	window1_response	window1_RT	window2_response	window2_RT	stim_file	calculated_response	calculated_accuracy	calculated_RT
1.0907	4.2010000000000005	S_U	2.0	n/a	n/a	1.0	2.17	Sem/Sem_run-02/stereo_1SU33A0.wav	1.0	0	1.92
5.2947	3.486	S_U	2.0	n/a	n/a	1.0	1.64	Sem/Sem_run-02/stereo_2SU85A0.wav	1.0	0	1.39
8.7817	3.8539999999999996	S_H	1.0	n/a	n/a	2.0	1.16	Sem/Sem_run-02/stereo_2SH50A0.wav	2.0	0	0.9099999999999999
12.6503	3.454	S_C	1.0	n/a	n/a	1.0	0.009000000000000001	Sem/Sem_run-02/ContS08.wav	1.0	1	0.759
16.1195	4.33	S_H	1.0	n/a	n/a	1.0	1.574	Sem/Sem_run-02/stereo_1SH10A0.wav	1.0	1	1.324
20.4559	3.872	S_L	1.0	n/a	n/a	1.0	1.546	Sem/Sem_run-02/stereo_2SL61A0.wav	1.0	1	1.296
24.3421	3.885	S_L	1.0	n/a	n/a	2.0	2.241	Sem/Sem_run-02/stereo_1SL23A0.wav	2.0	0	1.991
28.2293	4.2	S_U	2.0	n/a	n/a	1.0	1.5019999999999998	Sem/Sem_run-02/stereo_1SU42A0.wav	1.0	0	1.2519999999999998
32.4326	3.321	S_L	1.0	n/a	n/a	1.0	1.36	Sem/Sem_run-02/stereo_1SL16A0.wav	1.0	1	1.11
35.7684	3.59	S_C	1.0	n/a	n/a	1.0	0.016	Sem/Sem_run-02/ContS26.wav	1.0	1	0.766
39.3711	4.4	S_H	1.0	n/a	n/a	1.0	1.786	Sem/Sem_run-02/stereo_2SH60A0.wav	1.0	1	1.536
43.7745	4.311	S_L	1.0	n/a	n/a	1.0	2.205	Sem/Sem_run-02/stereo_2SL75A0.wav	1.0	1	1.955
48.0943	3.912	S_H	1.0	n/a	n/a	1.0	2.2880000000000003	Sem/Sem_run-02/stereo_2SH59A0.wav	1.0	1	2.0380000000000003
52.0138	4.4	S_U	2.0	n/a	n/a	2.0	2.016	Sem/Sem_run-02/stereo_2SU84A0.wav	2.0	1	1.766
56.4171	3.4210000000000003	S_U	2.0	n/a	n/a	1.0	1.807	Sem/Sem_run-02/stereo_1SU43A0.wav	1.0	0	1.557
59.8529	3.8539999999999996	S_C	1.0	2.0	0.684	1.0	0.866	Sem/Sem_run-02/ContS02.wav	2.0	0	0.684
