run	stim_file	trial_type	total_stim_duration	stim_average_intensity	word_A	word_A_duration	word_A_length	word_A_frequency	word_A_ortho_neighbors	word_A_phono_neighbors	word_A_semantic_neighbors	word_A_number_ phonemes	word_A_number_syllables	word_A_number_morphemes	word_A_part_of_speech	word_A_phonotactic_probability_biphone	word_A_phonotactic_probability_phoneme	word_A_phono_consistency	word_A_ortho_consistency	pause_duration	word_B	word_B_duration	word_B_length	word_B_frequency	word_B_ortho_neighbors	word_B_phono_neighbors	word_B_semantic_neighbors	word_B_number_ phonemes	word_B_number_syllables	word_B_number_morphemes	word_B_part_of_speech	word_B_phonotactic_probability_biphone	word_B_phonotactic_probability_phoneme	word_B_phono_consistency	word_B_ortho_consistency	word_A_B_association_strength
1	PC003.wav	P_O	1.555	65.8007	coat	0.679	4	10295	8	26	3217	3	1	1	NN|VB	1.0018	1.1666	0.6667	1.0000	0.32	cup	0.556	3	27792	8	15	3404	3	1	1	NN|VB	1.0018	1.0667	1.0000	1.0000	n/a
1	PC004.wav	P_O	1.689	65.8007	nut	0.533	3	4431	11	27	1	3	1	1	NN	1.005	1.1119	0.7500	0.9000	0.467	nail	0.689	4	4603	11	34	1	3	1	1	NN|VB	1.0045	1.1386	0.5588	1.0000	n/a
1	PC005.wav	P_O	1.682	65.8007	pail	0.687	4	496	17	44	0	3	1	1	NN	1.0088	1.1992	0.5588	1.0000	0.441	poke	0.554	4	2583	11	23	0	3	1	1	NN|VB	1.0087	1.2016	0.6471	1.0000	n/a
1	PC009.wav	P_O	1.591	65.8007	gap	0.569	3	6721	16	20	6064	3	1	1	NN	1.0045	1.1236	0.9444	0.9444	0.433	gift	0.587	4	11722	5	8	6028	4	1	1	NN	1.0028	1.1669	1.0000	1.0000	n/a
1	PC012.wav	P_O	1.7	65.8007	rock	0.701	4	44285	12	29	8061	3	1	1	NN|VB	1.0027	1.1463	0.8889	1.0000	0.296	roast	0.703	5	1484	4	15	0	4	1	1	NN|VB	1.0156	1.2494	0.5000	1.0000	n/a
1	PC013.wav	P_O	1.7	65.8007	sell	0.689	4	77273	11	25	6345	3	1	1	VB|NN	1.0048	1.2408	0.8889	1.0000	0.309	sing	0.702	4	10917	12	23	4607	3	1	1	VB	1.0063	1.244	1.0000	1.0000	n/a
1	PC017.wav	P_O	1.663	65.8007	yeast	0.681	5	6894	3	6	9	4	1	1	NN	1.0131	1.1871	0.8333	0.8333	0.315	yell	0.666	4	3322	9	20	0	3	1	1	NN|VB	1.0031	1.1463	0.8889	1.0000	n/a
1	PC018.wav	P_O	1.517	65.8007	dump	0.678	4	10072	8	10	8	4	1	1	VB|NN	1.0129	1.1595	1.0000	1.0000	0.32	deck	0.514	4	28755	7	21	4044	3	1	1	NN|VB	1.0016	1.1279	0.9000	1.0000	n/a
1	PC021.wav	P_O	1.7	65.8007	bond	0.673	4	12955	9	17	7273	4	1	1	NN|VB	1.0176	1.2369	0.8000	1.0000	0.326	bake	0.7	4	2528	17	31	0	3	1	1	VB|JJ|NN	1.0086	1.1796	0.8421	1.0000	n/a
1	PC025.wav	P_O	1.7	65.8007	haunt	0.687	5	954	4	10	0	4	1	1	VB|NN	1.0099	1.2408	1.0000	0.8333	0.312	help	0.703	4	335483	7	7	8964	4	1	1	VB|NN	1.005	1.1785	1.0000	1.0000	n/a
1	PC026.wav	P_O	1.7	65.8007	calm	0.698	4	6300	4	18	2209	3	1	1	JJ|NN|VB	1.0069	1.1712	0.6000	1.0000	0.301	coast	0.699	5	22188	3	15	6823	4	1	1	NN|VB	1.013	1.2068	0.5000	1.0000	n/a
