onset	duration	trial_type	correct	window1_response	window1_RT	window2_response	window2_RT	stim_file	calculated_response	calculated_accuracy	calculated_RT
1.0915	6.895	G_F	2.0	n/a	n/a	1.0	4.1930000000000005	Gram/Gram_run-01/stereo_2MF57U2.wav	1.0	0	4.9430000000000005
7.9964	7.175	G_F	2.0	n/a	n/a	1.0	3.9210000000000003	Gram/Gram_run-01/stereo_1MF15U3.wav	1.0	0	4.670999999999999
15.1851	6.5070000000000014	G_G	1.0	n/a	n/a	1.0	5.066	Gram/Gram_run-01/stereo_1MF11G2.wav	1.0	1	3.8859999999999997
21.7065	6.505	G_C	1.0	n/a	n/a	1.0	1.432	Gram/Gram_run-01/CoM09d.wav	1.0	1	2.182
28.2123	6.9479999999999995	G_F	2.0	n/a	n/a	1.0	4.128	Gram/Gram_run-01/stereo_2MF68U4.wav	1.0	0	3.402
35.1675	5.541	G_P	2.0	n/a	n/a	2.0	3.503	Gram/Gram_run-01/stereo_1MP37U3.wav	2.0	1	2.468
40.7217	5.9479999999999995	G_G	1.0	n/a	n/a	1.0	4.758	Gram/Gram_run-01/stereo_2MF50G1.wav	1.0	1	2.6630000000000003
46.6761	6.013	G_F	2.0	n/a	n/a	n/a	n/a	Gram/Gram_run-01/stereo_1MF05U1.wav	n/a	0	n/a
52.6972	7.87	G_C	1.0	n/a	n/a	1.0	0.715	Gram/Gram_run-01/CoM01l.wav	1.0	1	1.4649999999999999
60.5705	6.4979999999999976	G_G	1.0	n/a	n/a	n/a	n/a	Gram/Gram_run-01/stereo_1MF23G4.wav	n/a	0	n/a
67.0753	6.184	G_F	2.0	1.0	0.256	n/a	n/a	Gram/Gram_run-01/stereo_2MF55U2.wav	1.0	0	0.256
73.264	6.83	G_C	1.0	n/a	n/a	1.0	0.804	Gram/Gram_run-01/CoM10l.wav	1.0	1	1.554
80.1023	7.505	G_G	1.0	n/a	n/a	1.0	5.728	Gram/Gram_run-01/stereo_2MP96G4.wav	1.0	1	3.333
87.6086	7.1370000000000005	G_G	1.0	n/a	n/a	2.0	5.013	Gram/Gram_run-01/stereo_1MP47G4.wav	2.0	0	2.5460000000000003
94.74799999999999	6.694	G_F	2.0	n/a	n/a	2.0	3.9160000000000004	Gram/Gram_run-01/stereo_2MF61U3.wav	2.0	1	4.666
101.4529	5.39	G_C	1.0	n/a	n/a	1.0	0.37200000000000005	Gram/Gram_run-01/CoM01d.wav	1.0	1	1.122
106.8569	6.5760000000000005	G_G	1.0	n/a	n/a	1.0	3.2960000000000003	Gram/Gram_run-01/stereo_1MP35G2.wav	1.0	1	2.2920000000000003
113.4451	5.3389999999999995	G_F	2.0	n/a	n/a	n/a	n/a	Gram/Gram_run-01/stereo_2MF69U4.wav	n/a	0	n/a
118.7989	7.94	G_C	1.0	1.0	0.7440000000000001	n/a	n/a	Gram/Gram_run-01/CoM08l.wav	1.0	1	0.7440000000000001
126.7476	6.006	G_P	2.0	n/a	n/a	2.0	4.744	Gram/Gram_run-01/stereo_1MP26U1.wav	2.0	1	2.768
132.7683	8.422	G_F	2.0	n/a	n/a	1.0	5.827999999999999	Gram/Gram_run-01/stereo_1MF06U1.wav	1.0	0	5.232999999999998
141.1919	7.885	G_P	2.0	n/a	n/a	2.0	3.302	Gram/Gram_run-01/stereo_2MP81U2.wav	2.0	1	2.417
149.082	6.127000000000002	G_G	1.0	n/a	n/a	1.0	3.464	Gram/Gram_run-01/stereo_2MP83G2.wav	1.0	1	2.404
155.2198	5.765	G_C	1.0	n/a	n/a	1.0	0.7240000000000001	Gram/Gram_run-01/CoM02b.wav	1.0	1	1.4740000000000002
160.9908	6.706	G_P	2.0	n/a	n/a	n/a	n/a	Gram/Gram_run-01/stereo_2MP93U4.wav	n/a	0	n/a
167.7098	6.61	G_P	2.0	n/a	n/a	2.0	4.947	Gram/Gram_run-01/stereo_1MP28U1.wav	2.0	1	2.8320000000000007
174.3313	6.63	G_C	1.0	n/a	n/a	1.0	0.851	Gram/Gram_run-01/CoM04b.wav	1.0	1	1.601
180.9695	5.665	G_P	2.0	n/a	n/a	n/a	n/a	Gram/Gram_run-01/stereo_1MP27U1.wav	n/a	0	n/a
186.6404	7.55	G_G	1.0	n/a	n/a	1.0	5.09	Gram/Gram_run-01/stereo_2MP77G1.wav	1.0	1	2.9909999999999997
194.1961	6.51	G_C	1.0	n/a	n/a	1.0	1.1909999999999998	Gram/Gram_run-01/CoM03e.wav	1.0	1	1.9409999999999998
200.7177	6.98	G_P	2.0	n/a	n/a	2.0	5.044	Gram/Gram_run-01/stereo_2MP92U4.wav	2.0	1	2.6949999999999994
207.7062	7.047999999999999	G_G	1.0	n/a	n/a	1.0	4.78	Gram/Gram_run-01/stereo_1MF12G2.wav	1.0	1	3.7460000000000004
214.7613	5.574	G_F	2.0	n/a	n/a	n/a	n/a	Gram/Gram_run-01/stereo_1MF04U1.wav	n/a	0	n/a
220.3488	5.67	G_C	1.0	n/a	n/a	1.0	1.0390000000000001	Gram/Gram_run-01/CoM07d.wav	1.0	1	1.789
226.0205	6.6160000000000005	G_P	2.0	n/a	n/a	2.0	4.571000000000001	Gram/Gram_run-01/stereo_1MP39U3.wav	2.0	1	3.5670000000000015
232.6421	5.695	G_P	2.0	n/a	n/a	n/a	n/a	Gram/Gram_run-01/stereo_2MP82U2.wav	n/a	0	n/a
238.3464	6.627000000000002	G_F	2.0	n/a	n/a	1.0	0.076	Gram/Gram_run-01/stereo_1MF13U3.wav	1.0	0	0.826
244.9846	7.145	G_C	1.0	n/a	n/a	1.0	1.8519999999999999	Gram/Gram_run-01/CoM08e.wav	1.0	1	2.6020000000000003
252.1398	6.805	G_G	1.0	n/a	n/a	1.0	4.2860000000000005	Gram/Gram_run-01/stereo_1MP41G3.wav	1.0	1	2.9800000000000004
258.9458	7.519	G_P	2.0	n/a	n/a	2.0	3.85	Gram/Gram_run-01/stereo_1MP38U3.wav	2.0	1	2.6109999999999998
